Denomination,Year,Monarch,Desc,Variety,Strike Type,Metal,Mintage,,,,,,,,,,,,,,,,,,18
Farthing,1874 H,Victoria,Britannia,1/1 (South),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,A/A in FARTHING,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,G over Horz. G,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,BRI/BRI,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,O over Horz. O in VICTORIA,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,4/7/2025,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,V/V in VICTORIA,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1875,Victoria,Britannia,None/Unknown,Business Strike,Bronze,712760,,,,,,,,,,,,,,,,,,
Farthing,1875 H,Victoria,Britannia,None/Unknown,Business Strike,Bronze,6092800,,,,,,,,,,,,,,,,,,
Farthing,1876 H,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1175200,,,,,,,,,,,,,,,,,,
Farthing,1876 H,Victoria,Britannia,6/6 (South),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1876 H,Victoria,Britannia,6/6 (East),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1876 H,Victoria,Britannia,Large 6,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1877,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1878,Victoria,Britannia,None/Unknown,Business Strike,Bronze,4008540,,,,,,,,,,,,,,,,,,
Farthing,1878,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1879,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3977180,,,,,,,,,,,,,,,,,,
Farthing,1879,Victoria,Britannia,A/A in VICTORIA,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1879,Victoria,Britannia,Large 9,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1879,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1879,Victoria,Britannia,Large 9,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1880,Victoria,Britannia,4 Berries,Business Strike,Bronze,1842710,,,,,,,,,,,,,,,,,,
Farthing,1880,Victoria,Britannia,4 Berries,Proof,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1880,Victoria,Britannia,3 Berries,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1880,Victoria,Britannia,3 Berries,Proof,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1881,Victoria,Britannia,4 Berries,Business Strike,Bronze,3494670,,,,,,,,,,,,,,,,,,
Farthing,1881,Victoria,Britannia,3 Berries,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1881,Victoria,Britannia,3 Berries,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1881 H,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1792000,,,,,,,,,,,,,,,,,,
Farthing,1881 H,Victoria,Britannia,H/H Weak 1st H (West),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1881 H,Victoria,Britannia,H/H Strong 1st H (West),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1882 H,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1792000,,,,,,,,,,,,,,,,,,
Farthing,1882 H,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1883,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1128680,,,,,,,,,,,,,,,,,,
Farthing,1883,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1884,Victoria,Britannia,None/Unknown,Business Strike,Bronze,5782000,,,,,,,,,,,,,,,,,,
Farthing,1884,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1885,Victoria,Britannia,None/Unknown,Business Strike,Bronze,5442308,,,,,,,,,,,,,,,,,,
Farthing,1885,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1886,Victoria,Britannia,None/Unknown,Business Strike,Bronze,7707790,,,,,,,,,,,,,,,,,,
Farthing,1886,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1887,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1340800,,,,,,,,,,,,,,,,,,
Farthing,1888,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1887250,,,,,,,,,,,,,,,,,,
Farthing,1890,Victoria,Britannia,None/Unknown,Business Strike,Bronze,2133070,,,,,,,,,,,,,,,,,,
Farthing,1890,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1891,Victoria,Britannia,None/Unknown,Business Strike,Bronze,4959690,,,,,,,,,,,,,,,,,,
Farthing,1891,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1892,Victoria,Britannia,None/Unknown,Business Strike,Bronze,887240,,,,,,,,,,,,,,,,,,
Farthing,1892,Victoria,Britannia,2/2 (West),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1892,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1893,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3904320,,,,,,,,,,,,,,,,,,
Farthing,1894,Victoria,Britannia,None/Unknown,Business Strike,Bronze,2396770,,,,,,,,,,,,,,,,,,
Farthing,1894,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1895,Victoria,Britannia,Young Head,Business Strike,Bronze,2852852,,,,,,,,,,,,,,,,,,
Farthing,1895,Victoria,Britannia,Veiled Head,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1895,Victoria,Britannia,Veiled Head,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1896,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3668610,,,,,,,,,,,,,,,,,,
Farthing,1896,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
